season,county,A,B,U,ttl,pop
2016-17,Tioga,86,42,.,128,39772.0
2016-17,Union,135,20,.,155,50018.0
2016-17,Venango,228,75,.,303,52844.0
2016-17,Warren,115,146,.,261,35723.0
2016-17,Washington,117,18,.,135,211288.0
2016-17,Wayne,1214,646,1,1861,60607.0
2016-17,Westmoreland,375,293,.,668,380748.0
2016-17,Wyoming,1122,513,11,1646,24010.0
2016-17,York,39,45,1,85,450887.0
2016-17,All,1959,1298,8,3265,
2016-17,Total,50874,20110,288,71272,
2015-16,Adams,60,65,8,133,109237.0
2015-16,Allegheny,332,205,.,537,1169207.0
2015-16,Armstrong,2133,929,85,3147,66054.0
2015-16,Beaver,126,40,3,169,158212.0
2015-16,Bedford,356,165,1,522,51751.0
2015-16,Berks,34,11,1,46,450718.0
2015-16,Blair,1045,615,.,1660,114559.0
2015-16,Bradford,199,55,.,254,59359.0
2015-16,Bucks,60,9,.,69,673124.0
2015-16,Butler,788,565,6,1359,206380.0
2015-16,Cambria,375,156,32,563,132810.0
2015-16,Cameron,179,56,1,236,5569.0
2015-16,Carbon,6,3,.,9,66843.0
2015-16,Centre,79,52,.,131,156620.0
2015-16,Chester,291,255,1,547,604385.0
2015-16,Clarion,645,283,6,934,38726.0
2015-16,Clearfield,125,26,.,151,81487.0
2015-16,Clinton,199,148,2,349,33669.0
2015-16,Columbia,13,11,.,24,67053.0
2015-16,Crawford,110,53,.,163,89515.0
2015-16,Cumberland,277,50,.,327,258880.0
2015-16,Dauphin,633,407,.,1040,262550.0
2015-16,Delaware,518,183,3,704,566788.0
2015-16,Elk,947,475,.,1422,28909.0
2015-16,Erie,33,16,.,49,275355.0
2015-16,Fayette,568,172,.,740,139362.0
2015-16,Forest,187,79,1,267,7579.0
2015-16,Franklin,8,3,.,11,141656.0
2015-16,Fulton,371,194,.,565,16603.0
2015-16,Greene,55,58,.,113,40018.0
2015-16,Huntingdon,61,19,.,80,47974.0
2015-16,Indiana,46,56,.,102,72876.0
2015-16,Jefferson,332,99,1,432,43775.0
2015-16,Juniata,85,89,.,174,24798.0
2015-16,Lackawanna,46,53,.,99,199310.0
2015-16,Lancaster,315,154,.,469,526194.0
2015-16,Lawrence,509,230,5,744,86145.0
2015-16,Lebanon,134,25,.,159,126069.0
2015-16,Lehigh,94,100,.,194,361437.0
2015-16,Luzerne,1102,482,19,1603,296621.0
2015-16,Lycoming,772,264,1,1037,113105.0
2015-16,Mckean,95,50,2,147,
2015-16,Mercer,93,15,.,108,121376.0
2015-16,Mifflin,80,31,1,112,46421.0
2015-16,Monroe,119,178,.,297,208142.0
2015-16,Montgomery,227,76,2,305,854994.0
2015-16,Montour,1120,579,9,1708,16977.0
2015-16,Northampton,49,36,.,85,316862.0
2015-16,Northumberland,1266,871,27,2164,92861.0
2015-16,Perry,186,103,1,290,45111.0
2015-16,Philadelphia,34,22,1,57,1421328.0
2015-16,Pike,1178,486,.,1664,80765.0
2015-16,Potter,84,18,1,103,17641.0
2015-16,Schuylkill,75,17,.,92,146457.0
2015-16,Snyder,243,159,.,402,39025.0
2015-16,Somerset,83,40,1,124,77149.0
2015-16,Sullivan,94,50,22,166,6313.0
2015-16,Susquehanna,5,1,.,6,61630.0
2015-16,Tioga,40,10,.,50,39772.0
2015-16,Union,55,10,.,65,50018.0
2015-16,Venango,108,74,.,182,52844.0
2015-16,Warren,41,12,.,53,35723.0
2015-16,Washington,59,17,.,76,211288.0
2015-16,Wayne,576,227,1,804,60607.0
2015-16,Westmoreland,149,72,1,222,380748.0
2015-16,Wyoming,333,118,32,483,24010.0
2015-16,York,33,8,.,41,450887.0
2015-16,All,545,306,1,852,
2015-16,Total,21218,10496,278,31992,
